year,m,x,y,fit,lwr,upr,residuals,outlier
2003,08,27705, 57004, 47299.24,43274.404, 51324.08,  9704.758,TRUE
2003,10,43089, 57495, 71746.65,65612.335, 77880.97,-14251.652,TRUE
2004,09,67038,121395,109805.09,99685.055,119925.13, 11589.909,TRUE
2004,10,39184, 54292, 65541.04,60000.759, 71081.32,-11249.040,TRUE
2005,10,48878, 65023, 80946.21,73890.511, 88001.92,-15923.214,TRUE
2005,11,25587, 31631, 43933.43,40127.458, 47739.41,-12302.433,TRUE
2006,08,25670, 54630, 44065.33,40251.283, 47879.38, 10564.668,TRUE
2006,09,37137, 76475, 62288.06,57047.282, 67528.84, 14186.940,TRUE
2007,08, 6299, 91085, 13282.00, 9725.217, 16838.78, 77803.000,TRUE
