n_warnings,area_type,n_subareas,total_area_ha
1,"6,25 ha",143577,192817.3427978143
1,10 ha,60635,480202.1795705125
1,25 ha,78441,1217049.8281388169
1,50 ha,28005,969910.3636444042
1,100 ha,13328,921722.5668788763
1,250 ha,8092,1238538.5888814256
1,500 ha,2595,890846.4999652224
1,1000 ha,1156,788183.7425058798
1,> 1000 ha,607,1397508.5663736789
2,"6,25 ha",82619,107512.11777940993
2,10 ha,9647,76220.6645396355
2,25 ha,12084,187797.6450918078
2,50 ha,4610,161233.49280244083
2,100 ha,2689,187858.26519717858
2,250 ha,1544,232885.00958240303
2,500 ha,462,156569.1752839936
2,1000 ha,142,94964.70683435375
2,> 1000 ha,46,78174.25497343452
3,"6,25 ha",12333,14670.93858079948
3,10 ha,1110,8796.225074308615
3,25 ha,1605,25310.40851628323
3,50 ha,669,23391.991770934626
3,100 ha,453,31677.632517098515
3,250 ha,322,48898.56214572151
3,500 ha,77,26029.099769421773
3,1000 ha,21,13882.990616158635
3,> 1000 ha,5,8003.834447981066
4,"6,25 ha",870,1077.5686930759916
4,10 ha,76,595.1812857990928
4,25 ha,121,1908.1925839573116
4,50 ha,59,2106.7229109261157
4,100 ha,41,2881.9994909355296
4,250 ha,20,3072.875074712465
4,500 ha,4,1159.5552932898033
5,"6,25 ha",24,33.03026470942122
5,10 ha,5,35.64360794519517
5,25 ha,3,53.794040430827856
5,50 ha,3,119.16034681845245
5,100 ha,1,74.28710002772728
5,250 ha,1,105.42145932615611
